lc1;corine_2_lc1
A11;11
A12;11
A13;11
A21;11
A22;12
B11;21
B12;21
B13;21
B14;21
B15;21
B16;21
B17;21
B18;21
B19;21
B21;21
B22;21
B23;21
B31;21
B32;21
B33;21
B34;21
B35;21
B36;21
B37;21
B41;21
B42;21
B43;21
B44;21
B45;21
B51;21
B52;21
B53;21
B54;21
B55;23
B70;22
B71;22
B72;22
B73;22
B74;22
B75;22
B76;22
B77;22
B81;22
B82;22
B83;22
B84;22
BX1;22
C10;31
C20;31
C30;31
D10;32
D20;32
E10;23
E20;23
E30;23
F00;33
G10;51
G20;51
H11;41
H12;41
H21;42
H22;42
